User ID,Ethnicity,Gender,Education,Party,Topic,In Support,Similarity1,Similarity2,Similarity3,Similarity4,Similarity5,Similarity6,Similarity7,Similarity8,Similarity9,Similaritymax3,Similaritymax5
300000262,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0.3763,0.1158,0.3091,0.5092,0.2842,0.382,0.5025,0.0555,0.3174,0.5092,0.5025
300000263,White,Man,4-Year,I,Increasing size of House of Representatives,FALSE,0.201,0.1476,0.1981,0.2281,0.1871,0.1319,0.1597,0.1272,0.1844,0.2281,0.1871
300000264,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0.4017,0.3233,0.3579,0.3907,0.2768,0.391,0.3656,0.1515,0.2969,0.3907,0.391
300000276,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0.4463,0.4108,0.4551,0.4372,0.4391,0.4227,0.4224,0.2753,0.4308,0.4551,0.4391
300000277,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0.2464,0.0796,0.161,0.228,0.1578,0.163,0.1851,0.2245,0.2746,0.228,0.2746
300000280,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0.4939,0.2649,0.4275,0.5152,0.4034,0.4434,0.4841,0.1477,0.4095,0.5152,0.4841
300000283,White,Man,Post-Grad,R,Increasing size of House of Representatives,FALSE,0.4926,0.3525,0.4928,0.5496,0.4983,0.6188,0.4708,0.1954,0.3952,0.5496,0.6188
300000284,White,Man,HS or Less,R,Increasing size of House of Representatives,FALSE,0.1867,0.0945,0.249,0.1511,0.1872,0.2043,0.1445,0.0726,0.2101,0.249,0.2101
300000291,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0.3026,0.2533,0.2489,0.3082,0.2449,0.3043,0.3913,0.2032,0.2278,0.3082,0.3913
300000325,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0.2876,0.2042,0.2517,0.2623,0.2477,0.255,0.1601,0.1703,0.1502,0.2623,0.255
300000344,White,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,0.248,0.3857,0.1752,0.2463,0.2412,0.2323,0.156,0.1619,0.1459,0.3857,0.2412
300000370,White,Man,4-Year,I,Increasing size of House of Representatives,FALSE,0.3396,0.4363,0.316,0.4897,0.3801,0.3902,0.3063,0.328,0.3229,0.4897,0.3902
300000376,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.3189,0.3795,0.2138,0.2873,0.3362,0.3174,0.2785,0.0484,0.2725,0.3795,0.3362
300000394,All Other,Man,4-Year,I,Increasing size of House of Representatives,FALSE,0.4121,0.3337,0.2267,0.4195,0.3802,0.3955,0.3676,0.3228,0.4014,0.4195,0.4014
300000403,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.1337,0.1896,0.1511,0.2133,0.0557,0.0365,0.0868,0.2861,0.1113,0.2133,0.2861
300000421,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0.0906,0.0216,0.1089,0.0921,0.0407,0.0698,0.0453,0.2141,0.0267,0.1089,0.2141
300000423,Hispanic,Man,Some College,D,Increasing size of House of Representatives,FALSE,0.3904,0.4196,0.3763,0.4838,0.3614,0.4063,0.3979,0.1888,0.3902,0.4838,0.4063
300000472,White,Man,HS or Less,R,Increasing size of House of Representatives,FALSE,-0.0419,-0.0054,-0.0783,-0.0342,-0.0462,-0.0586,-0.0132,0.0424,-0.0433,-0.0054,0.0424
300000552,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0.4254,0.165,0.4865,0.396,0.2973,0.3162,0.3825,0.1756,0.3986,0.4865,0.3986
300000619,White,Man,HS or Less,I,Increasing size of House of Representatives,FALSE,0.4717,0.1165,0.4681,0.2265,0.5733,0.4854,0.4565,0.0583,0.5181,0.4681,0.5733
300000673,White,Woman,HS or Less,D,Increasing size of House of Representatives,FALSE,0.2223,0.1827,0.254,0.26,0.2614,0.3338,0.2501,0.0808,0.1921,0.26,0.3338
300000678,White,Man,HS or Less,R,Increasing size of House of Representatives,FALSE,0.2834,0.3235,0.2575,0.3006,0.2704,0.3487,0.2333,0.1563,0.2253,0.3235,0.3487
300000692,White,Woman,HS or Less,I,Increasing size of House of Representatives,FALSE,0.5167,0.1491,0.543,0.5536,0.3188,0.4976,0.4106,0.1968,0.3935,0.5536,0.4976
300000737,White,Man,HS or Less,R,Increasing size of House of Representatives,FALSE,0.2079,0.3803,0.1732,0.2135,0.3011,0.2017,0.1291,0.1743,0.2285,0.3803,0.3011
300000747,All Other,Man,HS or Less,I,Increasing size of House of Representatives,FALSE,-0.014,0.0604,0.0266,0.0248,0.0019,-0.0447,0.0451,0.1297,0.0549,0.0604,0.1297
300000782,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0.2784,0.3472,0.2133,0.2851,0.2855,0.2655,0.3061,0.4212,0.2062,0.3472,0.4212
300000823,White,Woman,HS or Less,D,Increasing size of House of Representatives,FALSE,0.4534,0.3857,0.3691,0.4822,0.4434,0.435,0.4309,0.2683,0.471,0.4822,0.471
300000854,White,Woman,Post-Grad,D,Increasing size of House of Representatives,FALSE,0.2929,0.2221,0.3789,0.3868,0.3443,0.5437,0.2599,0.162,0.2745,0.3868,0.5437
300000861,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0.4069,0.1348,0.359,0.3792,0.3428,0.3565,0.369,0.1099,0.3561,0.3792,0.369
300000893,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0.2895,0.2599,0.3582,0.2788,0.3015,0.3399,0.2497,0.1683,0.302,0.3582,0.3399
